product_id,super_category,category,shelf
547860,Beauty & Personal Care,Baby Care,Clothes & Accessories
806085,Beauty & Personal Care,Baby Care,Clothes & Accessories
720470,Beauty & Personal Care,Baby Care,Clothes & Accessories
651287,Beauty & Personal Care,Baby Care,Clothes & Accessories
720170,Beauty & Personal Care,Baby Care,Clothes & Accessories
720468,Beauty & Personal Care,Baby Care,Clothes & Accessories
716539,Beauty & Personal Care,Baby Care,Clothes & Accessories
720662,Beauty & Personal Care,Baby Care,Clothes & Accessories
716429,Beauty & Personal Care,Baby Care,Clothes & Accessories
748904,Beauty & Personal Care,Baby Care,Clothes & Accessories
793168,Beauty & Personal Care,Baby Care,Clothes & Accessories
626682,Beauty & Personal Care,Baby Care,Clothes & Accessories
664495,Beauty & Personal Care,Baby Care,Clothes & Accessories
664501,Beauty & Personal Care,Baby Care,Clothes & Accessories
611501,Beauty & Personal Care,Baby Care,Clothes & Accessories
661951,Beauty & Personal Care,Baby Care,Clothes & Accessories
683112,Beauty & Personal Care,Baby Care,Clothes & Accessories
661981,Beauty & Personal Care,Baby Care,Clothes & Accessories
661973,Beauty & Personal Care,Baby Care,Clothes & Accessories
625195,Beauty & Personal Care,Baby Care,Clothes & Accessories
760539,Beauty & Personal Care,Baby Care,Clothes & Accessories
679596,Beauty & Personal Care,Baby Care,Clothes & Accessories
664641,Beauty & Personal Care,Baby Care,Clothes & Accessories
757732,Beauty & Personal Care,Baby Care,Clothes & Accessories
663061,Beauty & Personal Care,Baby Care,Clothes & Accessories
575755,Beauty & Personal Care,Baby Care,Clothes & Accessories
575778,Beauty & Personal Care,Baby Care,Clothes & Accessories
576563,Beauty & Personal Care,Baby Care,Clothes & Accessories
575875,Beauty & Personal Care,Baby Care,Clothes & Accessories
577131,Beauty & Personal Care,Baby Care,Clothes & Accessories
583936,Beauty & Personal Care,Baby Care,Clothes & Accessories
575829,Beauty & Personal Care,Baby Care,Clothes & Accessories
718657,Beauty & Personal Care,Baby Care,Clothes & Accessories
575864,Beauty & Personal Care,Baby Care,Clothes & Accessories
586664,Beauty & Personal Care,Baby Care,Clothes & Accessories
586650,Beauty & Personal Care,Baby Care,Clothes & Accessories
587033,Beauty & Personal Care,Baby Care,Clothes & Accessories
718656,Beauty & Personal Care,Baby Care,Clothes & Accessories
586673,Beauty & Personal Care,Baby Care,Clothes & Accessories
586679,Beauty & Personal Care,Baby Care,Clothes & Accessories
1374521,Beauty & Personal Care,Baby Care,Clothes & Accessories
586631,Beauty & Personal Care,Baby Care,Clothes & Accessories
599125,Beauty & Personal Care,Baby Care,Clothes & Accessories
718655,Beauty & Personal Care,Baby Care,Clothes & Accessories
585908,Beauty & Personal Care,Baby Care,Clothes & Accessories
1370242,Beauty & Personal Care,Baby Care,Clothes & Accessories
585941,Beauty & Personal Care,Baby Care,Clothes & Accessories
583928,Beauty & Personal Care,Baby Care,Clothes & Accessories
1370274,Beauty & Personal Care,Baby Care,Clothes & Accessories
735574,Beauty & Personal Care,Baby Care,Clothes & Accessories
782310,Beauty & Personal Care,Baby Care,Clothes & Accessories
782322,Beauty & Personal Care,Baby Care,Clothes & Accessories
585976,Beauty & Personal Care,Baby Care,Clothes & Accessories
586028,Beauty & Personal Care,Baby Care,Clothes & Accessories
554486,Beauty & Personal Care,Baby Care,Clothes & Accessories
557115,Beauty & Personal Care,Baby Care,Clothes & Accessories
598271,Beauty & Personal Care,Baby Care,Clothes & Accessories
598197,Beauty & Personal Care,Baby Care,Clothes & Accessories
598249,Beauty & Personal Care,Baby Care,Clothes & Accessories
636778,Beauty & Personal Care,Baby Care,Clothes & Accessories
556904,Beauty & Personal Care,Baby Care,Clothes & Accessories
582526,Beauty & Personal Care,Baby Care,Clothes & Accessories
583941,Beauty & Personal Care,Baby Care,Clothes & Accessories
583917,Beauty & Personal Care,Baby Care,Clothes & Accessories
582519,Beauty & Personal Care,Baby Care,Clothes & Accessories
583929,Beauty & Personal Care,Baby Care,Clothes & Accessories
618209,Beauty & Personal Care,Baby Care,Clothes & Accessories
798390,Beauty & Personal Care,Baby Care,Clothes & Accessories
767283,Beauty & Personal Care,Baby Care,Clothes & Accessories
593852,Beauty & Personal Care,Baby Care,Clothes & Accessories
728461,Beauty & Personal Care,Baby Care,Clothes & Accessories
1395151,Beauty & Personal Care,Baby Care,Clothes & Accessories
728747,Beauty & Personal Care,Baby Care,Clothes & Accessories
597755,Beauty & Personal Care,Baby Care,Clothes & Accessories
720450,Beauty & Personal Care,Baby Care,Clothes & Accessories
720284,Beauty & Personal Care,Baby Care,Clothes & Accessories
760524,Beauty & Personal Care,Baby Care,Clothes & Accessories
761674,Beauty & Personal Care,Baby Care,Clothes & Accessories
763561,Beauty & Personal Care,Baby Care,Clothes & Accessories
585957,Beauty & Personal Care,Baby Care,Clothes & Accessories
726039,Beauty & Personal Care,Baby Care,Clothes & Accessories
570815,Beauty & Personal Care,Baby Care,Clothes & Accessories
570820,Beauty & Personal Care,Baby Care,Clothes & Accessories
1389167,Beauty & Personal Care,Baby Care,Clothes & Accessories
